Compound,Type,Source,LATR_1,AMDU_1,PLRI_1,LYPA_1,LYAN_1,INSP_1,LATR_2,AMDU_2,PLRI_2,LYPA_2,LYAN_2,LATR_3,AMDU_3,PLRI_3,LYPA_3,LYAN_3,INSP_3,LATR_4,AMDU_4,PLRI_4,LYPA_4,LYAN_4,INSP_4,LATR_5,AMDU_5,PLRI_5,LYPA_5,LYAN_5,INSP_5,LATR_6,AMDU_6,PLRI_6,LYPA_6,LYAN_6,INSP_6
Phenol,Aromatic,Phenol,0.047628252,0.076788464,0.062647434,0.082985343,0.053590568,0.075131651,0.064107399,0.013540223,0.02252816,0.026860103,0.071719335,0.047363376,0.069737319,0.018443544,0.050779444,0.066811015,0.044650313,0.0811495,0.017041136,0.11012856,0.051591485,0.02654728,0.051304715,0.04076373,0,0.067669173,0.050038533,0.085748811,0.016588759,0.060863133,0.004299816,0.023922437,0.051616941,0.070072259,0.044838807
"Benzene, 1-ethyl-4-methoxy-",Aromatic,Phenol+TMAH,0,0,0,0,0,0,0,0,0,0,0,0,0.00053763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Benzofuran, 2-methyl-",Aromatic,Polysaccharide,0.002902253,0.009187672,0.001949031,0.002207723,0.001578379,0.004108407,0.014047062,0.000947002,0.001625108,0.003250271,0.001795456,0.000932291,0.005805718,0.000533108,0.002807319,0.0092095,0.003563438,0.00132897,0.000832945,0.014019333,0.001486059,0.002091008,0.001543625,0.005868571,0.001809851,0.005310896,0.002374091,0.001113415,0.000521201,0.015254798,0,0.002684255,0.001508598,0.002952756,0.004113652
Furfural,Aromatic,Polysaccharide,0.001288552,0.003206255,0.00275855,0.008663879,0,0.010441257,0,0,0,0,0.004402083,0.004848662,0.004122403,0.00134767,0.002514202,0.005930244,0.003477572,0.004498505,0.002181903,0.008986752,0.00284127,0,0.017229673,0.002041701,0.003067545,0.002542069,0,0.006912673,0,0.004720794,0.00124775,0,0.002767094,0.006075629,0.002961829
"2-Cyclopenten-1-one, 2-methyl-",Aromatic,Polysaccharide,0,0.006789717,0.003944468,0,0.002073212,0,0.007636323,0,0,0,0.004624661,0.001141963,0.006681728,0,0.001003204,0.008182817,0.001386736,0.006468438,0.000372675,0.00977105,0.004392753,0,0,0.001781656,0.002582315,0.001277002,0.003141105,0.005857303,0.00066243,0.003238231,0,0.00330197,0.001865128,0.001729529,0
"Furan, 2,4-dimethyl-",Aromatic,Polysaccharide,0,0.001468411,0.004692112,0.00058977,0.001208722,0.001558622,0.000928615,0,0,0.000362974,0.004130044,0.000821839,0.006527138,0,0.002303653,0.007033545,0.000450796,0.008761794,0,0.003758096,0.003009503,0,0.001991981,0,0,0.001802124,0.002301042,0.007176516,0,0.004935376,0,0.001898071,0.001960912,0.000530605,0
"Furfural, 5-methyl-",Aromatic,Polysaccharide,0,0.001686652,0,0.003173276,0,0,0,0,0,0,0.001493741,0.001542586,0.002232968,0,0,0.001117092,0.001090498,0.001846445,0.00061157,0.002048979,0.001671116,0,0.006219336,0,0.002774733,0.000909416,0.001625339,0.001509179,0.005189592,0.00120946,0.000536472,0.008928797,0.001016375,0.002596319,0
"2-Cyclopenten-1-one, 2,3-dimethyl-",Aromatic,Polysaccharide,0,0.002855992,0.002196527,0.001649268,0.0010014,0,0.001663964,0,0,0,0.002146634,0.000692666,0.005135827,0,0.000631647,0.005930244,0.000693368,0.004763123,0,0.003264642,0.002486111,0,0,0.001180743,0.001076429,0.000543024,0.001574205,0.004300633,0,0.003530842,0,0.000895126,0.001050963,0,0
"Benzofuran, 2,3-dihydro-",Aromatic,Polysaccharide,0,0,0,0.000840292,0,0,0,0,0,0,0,0.005354121,0.005668304,0,0,0.005501182,0.001000339,0.004674917,0.001575111,0,0.002542189,0,0.006981541,0,0.001776387,0,0.002027108,0.002770346,0.002062386,0.008856366,0.0014105,0.004267853,0.002458456,0.004046369,0
Levoglucosan,Aromatic,Polysaccharide,0.021255086,0.009537936,0.00275855,0,0,0,0,0.004802845,0.016944257,0.003009388,0.039569288,0.014040527,0.007265735,0.029205037,0,0,0,0.047631228,0.007787959,0,0,0,0,0.00797704,0,0,0.01329491,0,0,0.00678858,0.011372411,0.010793175,0,0,0
3-Furaldehyde,Aromatic,Polysaccharide,0,0,0,0.002828809,0,0,0,0,0,0,0,0.001093289,0.00013518,0,0,0.001064992,0,0,0.000718276,0,0,0,0.021392977,0,0.102344441,0,0.001309403,0.001883835,0.027909467,0.001080711,0,0.026505611,0.000713059,0,0
Cyclopentanone,Aromatic,Polysaccharide,0,0.00754413,0,0,0.000823417,0,0.004506373,0,0,0,0.002379103,0,0.000870858,0,0,0,0,0,0,0.004836506,0,0,0,0,0,0,0.001862748,0,0,0,0,0,0.00025436,0,0.001184732
"Furan, 2,5-dimethyl-",Aromatic,Polysaccharide,0,0,0,0,0,0,0,0,0,0,0.000459993,0,0.000499841,0,0,0.000672707,0,0,0,0.000970569,0.000265434,0,0,0,0,0,0.000405422,0.000440617,0,0.000273104,0,0.001684679,0,0,0
2-Acetylfuran,Aromatic,Polysaccharide,0,0,0,0,0,0,0,0,0,0,0,0.000561621,0.000506712,0,0,0.000493421,0,0,0,0,0,0,0,0,0.003764714,0,0,0.00063586,0.001199322,0.000245793,0,0.000776075,0,0,0
"Cyclopent-2-ene-1-one, 2,3,4-trimethyl-",Aromatic,Polysaccharide,0,0.000205847,0.000654833,0,0,0,0,0,0,0,0,0,0,0,0,0.000698757,0,0.0005851,0,0,0,0,0,0,0,0,0,0.000868042,0.002152055,0,0,0.005862682,0,0,0
"2-Cyclopenten-1-one, 2-hydroxy-3-methyl-",Aromatic,Polysaccharide,0,0,0,0.00033977,0,0,0,0,0,0,0.000558916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00034333,0,0.000696055,0,0,0.000671625,0,0,0
"2(3H)-Furanone, 5-methyl-",Aromatic,Polysaccharide,0,0,0,0,0,0,0,0,0,0,0,0.00074134,0,0,0,0,0,0,0,0,0,0,0,0,0.010569085,0,0,0,0.013450345,0,0,0.012241998,0,0,0
2(5H)-Furanone,Aromatic,Polysaccharide,0,0,0,0,0,0,0,0,0,0,0,0.000114196,0,0,0,0,0,0,0,0,0,0,0,0,0.004210902,0,0,0,0.000692693,0,0,0.00038523,0,0,0
"Furan, 2-ethyl-5-methyl-",Aromatic,Polysaccharide,0,0,0,0,0,0,0,0,0,0,0,0,0.00025078,0,0,0.000255905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001190506,0,0,0
"1,2-Cyclohexanedione",Aromatic,Polysaccharide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003753379,0,0.003346412,0,0,0,0,0,0,0,0,0,0
Methyl 2-furoate,Aromatic,Polysaccharide,0,0,0,0.002437368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00115932,0,0,0,0,0,0,0,0,0,0,0,0
Vinylfuran,Aromatic,Polysaccharide,0,0,0,0,0,0,0,0,0,0,0,0,0.000151155,0,0,0,0,0,0,0,0,0,0,0,0.002900224,0,0,0,0,0,0,0,0,0,0
"4H-Pyran-4-one, 3-hydroxy-2-methyl-",Aromatic,Polysaccharide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001336512,0,0,0
"Furan, 2-ethyl-",Aromatic,Polysaccharide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001091646,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-Furanmethanol,Aromatic,Polysaccharide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000498784,0,0,0,0,0,0
"2(5H)-Furanone, 5-methyl-",Aromatic,Polysaccharide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000312721,0,0,0,0,0,0
2H-Pyran-2-one,Aliphatic,Polysaccharide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000305995,0,0,0,0,0,0
Styrene,Aromatic,Protein,0.006021271,0.011343138,0.006574113,0.006471813,0.00657169,0.013240724,0.020976318,0.001524971,0.003007606,0.003095181,0.009026744,0.023962499,0.006973732,0.00579465,0.00251833,0.009607914,0.004121567,0.007556312,0.005335309,0.028071345,0.029534256,0.00393293,0.017165623,0.005587442,0.017568664,0.004296455,0.006464832,0.006569678,0.03934226,0.006125328,0.001878658,0.077382908,0.003857967,0.003045916,0.005800249
Benzyl nitrile,Aromatic,Protein,0.009694246,0.001331,0.014617735,0.014196235,0.011285313,0.009911628,0.011595897,0.002132789,0.003554443,0.006962508,0.012043902,0.008499199,0.016919029,0.003807913,0.010940287,0.002804224,0.007942604,0.024697674,0.002643765,0.026731502,0.015982145,0.006397567,0.01152915,0.008047322,0.003430073,0.009977324,0.011961766,0.019418808,0.001714919,0.019507414,0.000769547,0.004009535,0.012717988,0.013852435,0.0047307
Indole,Aromatic,Protein,0.015173602,0.008891296,0.008069402,0.033663866,0.006141401,0.009155015,0,0.003934534,0.008010013,0.01075724,0.008779436,0.015613066,0.023360284,0.006324447,0.015151265,0.031566672,0.006182351,0.051453488,0.005781245,0.016078116,0.022618006,0.012847573,0.02619679,0.00520089,0.006079316,0.007614274,0.011267801,0.042742484,0.0032505,0.036869013,0.002049445,0.004705869,0.015272229,0.036980331,0.003698173
3-Methylindole,Aromatic,Protein,0.011500627,0.00705915,0.006960826,0.006002085,0.00059067,0.001702379,0,0.002469259,0.005660922,0.008942369,0.000949663,0.008424316,0.025077952,0.004370822,0.012674219,0.038309068,0.005173426,0.052629567,0.002739323,0.010816781,0.022431081,0.00793141,0.014219284,0.002723439,0.003848374,0.004141306,0.007743189,0.037729477,0.00170371,0.031406937,0.001233686,0.003964611,0.012212462,0.035441172,0.001711279
